Name,Latitude,Longitude,Altitude
20 ft,32.85289054645853,-117.2661683606642,-6.096
20 ft,32.85288427869418,-117.2661897096126,-6.096
20 ft,32.8528810770547,-117.2662110677141,-6.096
20 ft,32.85288135950508,-117.266232436219,-6.096
20 ft,32.85288369143434,-117.2662538108453,-6.096
20 ft,32.85288288294365,-117.2662751760924,-6.096
20 ft,32.85288286269485,-117.2662965436938,-6.096
20 ft,32.85288175151001,-117.266317908036,-6.096
20 ft,32.85288441136426,-117.2663392836442,-6.096
20 ft,32.85289013724344,-117.2663606684146,-6.096
20 ft,32.85289157096135,-117.2663649461334,-6.096
20 ft,32.85289474089446,-117.2663820498344,-6.096
20 ft,32.85289149817947,-117.2663991343737,-6.096
20 ft,32.85289058732644,-117.2664034050867,-6.096
20 ft,32.85289024124758,-117.2664247717159,-6.096
20 ft,32.85289019575004,-117.2664461392434,-6.096
20 ft,32.85288630261684,-117.2664674952701,-6.096
20 ft,32.8528826500305,-117.2664888520138,-6.096
20 ft,32.85287323213265,-117.2665073425414,-6.096
20 ft,32.8528708213659,-117.266510184313,-6.096
20 ft,32.85286596634149,-117.2665315374562,-6.096
20 ft,32.85285511773297,-117.2665443256059,-6.096
20 ft,32.85285329601645,-117.2665528672291,-6.096
20 ft,32.85285402342634,-117.2665742370588,-6.096
20 ft,32.85285503579807,-117.2665827871562,-6.096
20 ft,32.85285681199076,-117.2665956130527,-6.096
20 ft,32.85285631558737,-117.2666169792235,-6.096
20 ft,32.85285493563945,-117.2666297956812,-6.096
20 ft,32.85285251272806,-117.2666383355043,-6.096
20 ft,32.85283685231982,-117.2666521775586,-6.096
20 ft,32.85281882819243,-117.2666467818617,-6.096
20 ft,32.85281163216011,-117.2666382132311,-6.096
20 ft,32.85280082303669,-117.2666324828699,-6.096
20 ft,32.85278638242676,-117.2666381377095,-6.096
20 ft,32.85278274806438,-117.2666509474136,-6.096
20 ft,32.85278092634059,-117.2666594890276,-6.096
20 ft,32.85277763434101,-117.2666808468168,-6.096
20 ft,32.8527826752049,-117.2666851354542,-6.096
20 ft,32.85280070160762,-117.2666894628458,-6.096
20 ft,32.85280788848589,-117.2667023049645,-6.096
20 ft,32.85281763366764,-117.2667237017651,-6.096
20 ft,32.85281865817534,-117.2667265538073,-6.096
20 ft,32.85283665876506,-117.2667429896249,-6.096
20 ft,32.85285469313677,-117.266743577765,-6.096
20 ft,32.85285649322748,-117.2667451856861,-6.096
20 ft,32.85285945366533,-117.2667665622002,-6.096
20 ft,32.85285463202044,-117.2667722458456,-6.096
20 ft,32.85283872732074,-117.2667878678289,-6.096
20 ft,32.85283655763533,-117.2667904254033,-6.096
20 ft,32.85281850329388,-117.2667992033577,-6.096
20 ft,32.85280047841417,-117.2667941634984,-6.096
20 ft,32.85278967078183,-117.2667877210192,-6.096
20 ft,32.85278246264497,-117.2667848504719,-6.096
